response time is 39, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 27, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 12, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 11, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5
response time is 30, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 20, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 21, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 47, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 23, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 24, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 25, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 19, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 16, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 31, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 29, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 27, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 9, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 35, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 12, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 15, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 16, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 20, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 17, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 22, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 20, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
deadtime is 10384, rejoin finish time is 379 
response time is 895, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 21, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 14, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 23, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 16, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
