response time is 33, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 25, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 12, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 16, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 39, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 26, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 19, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 27, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 28, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 21, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 19, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 21, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 19, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 26, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 27, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
deadtime is 5241, rejoin finish time is 234 
response time is 14, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 16, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 25, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 18, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
