response time is 31, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 24, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 26, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 30, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 20, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 18, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 24, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 43, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 53, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 15, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 21, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 28, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 15, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 21, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 20, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 27, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 15, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 30, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 17, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 36, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 30, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
response time is 17, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
response time is 21, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 14, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
response time is 23, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
deadtime is 20833, rejoin finish time is 822 
response time is 846, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
response time is 19, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 29, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 orderer5 
response time is 20, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
response time is 29, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
